location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing
jabalpur_ind.19_1_in,Jabalpur,cpcb,no2,observed,-14.36509007015097,-0.3818574256689219,0.8714393160454053,6.7980592346937305
jabalpur_ind.19_1_in,Jabalpur,cpcb,no2,trend,-10.066116488156997,-0.29389198732180033,0.8714393160454053,6.7980592346937305
jaipur_ind.29_1_in,Jaipur,cpcb,no2,observed,-15.561474820521688,-0.3242036896955345,0.7925347440146099,7.241672478794933
jaipur_ind.29_1_in,Jaipur,cpcb,no2,trend,-11.556664237994823,-0.2550353738154924,0.7925347440146099,7.241672478794933
jalandhar_ind.28_1_in,Jalandhar,cpcb,no2,observed,-3.0928058130600284,-0.13704491692715967,0.7055626669525248,6.694747475338769
jalandhar_ind.28_1_in,Jalandhar,cpcb,no2,trend,-1.2818501247768062,-0.06142525420671159,0.7055626669525248,6.694747475338769
jhansi_ind.34_1_in,Jhansi,cpcb,no2,observed,0.18426689594431878,0.010101611995574125,0.8459754754291957,4.9751673781295125
jhansi_ind.34_1_in,Jhansi,cpcb,no2,trend,2.623713823726815,0.16410349081619682,0.8459754754291957,4.9751673781295125
jodhpur_ind.29_1_in,Jodhpur,cpcb,no2,observed,-16.398609826979015,-0.44955584862526554,0.7673900436931861,7.998247311217961
jodhpur_ind.29_1_in,Jodhpur,cpcb,no2,trend,-13.786314158494744,-0.3960744350852464,0.7673900436931861,7.998247311217961
kanpur_ind.34_1_in,Kanpur,cpcb,no2,observed,9.763064131830316,0.3453193041017937,0.8996197266266175,11.887445722477205
kanpur_ind.34_1_in,Kanpur,cpcb,no2,trend,7.680281868236374,0.2571380090236923,0.8996197266266175,11.887445722477205
khanna_ind.28_1_in,Khanna,cpcb,no2,observed,-0.9381346572519718,-0.036209676399240893,0.7226727091039332,7.033890830826142
khanna_ind.28_1_in,Khanna,cpcb,no2,trend,-0.4103795755511186,-0.016315516464430465,0.7226727091039332,7.033890830826142
kolkata_ind.36_1_in,Kolkata,cpcb,no2,observed,1.7244023095912944,0.08837627815940656,0.9263067940403756,5.9393841468333886
kolkata_ind.36_1_in,Kolkata,cpcb,no2,trend,-1.5541714492139498,-0.07255667622697982,0.9263067940403756,5.9393841468333886
kota_ind.29_1_in,Kota,cpcb,no2,observed,16.13627920412213,0.7040943470594769,0.8280784290988282,6.683110001378179
kota_ind.29_1_in,Kota,cpcb,no2,trend,12.444570546525586,0.5268515870875463,0.8280784290988282,6.683110001378179
